Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
102,06/04/2009,1,09:42,WINSTON,HEAD,IMG_0005,20.39408333,-87.31353333,F,,,
103,06/04/2009,1,09:52,JACK,HEAD,IMG_0007-9,20.39438333,-87.31416667,F,2,H,
104,06/04/2009,2,13:34,VEX,HEAD,IMG_0010-13,20.39433333,-87.3138,F,2,H,
105,06/04/2009,2,13:34,JACK,HEAD,IMG_0014-18,20.39433333,-87.3138,F,,,
110,06/04/2009,3,17:18,RAMON,HEAD,IMG_0021/22,20.3945,-87.31363333,F,,,
113,06/04/2009,3,17:32,ZAC,HEAD,IMG_0025,20.39408333,-87.31356667,S,7,H,
115,06/04/2009,3,17:46,CRASH,NOTES,,20.3943,-87.31413333,S,,,
116,06/04/2009,3,17:47,LENNON,HEAD,IMG_0026-28,20.39415,-87.31408333,F,,,
120,09/04/2009,1,10:08,ANTONIO,HEAD,IMG_0037,20.3947,-87.31438333,S,4,,
122,09/04/2009,2,13:34,UNOMAS,HEAD,IMG_0043-45,20.39478333,-87.3136,F,,,
123,09/04/2009,2,13:42,JACK,CARAPACE,IMG_0047-48,20.39406667,-87.31328333,F,,,
127,16/04/2009,1,09:13,LIZ,HEAD,IMG_0043/44,20.39516667,-87.31343333,F,,,
129,16/04/2009,1,09:18,ZIGGY,HEAD,IMG_0045/46,20.39473333,-87.31368333,F,,,
130,16/04/2009,1,09:21,ANGEL,HEAD,IMG_0047/48,20.39453333,-87.31358333,S,,,
131,16/04/2009,1,09:27,WUZZY,HEAD,IMG_0049/50,20.39411667,-87.3135,F,,,
132,16/04/2009,1,09:27,WINSTON,HEAD,IMG_0051/52,20.39411667,-87.3135,F,,,
133,16/04/2009,1,09:34,SPLIT,HEAD,IMG_0053,20.39516667,-87.31431667,S,,,
135,16/04/2009,1,09:37,CHARLIE,HEAD,IMG_0054/55,20.3951,-87.31431667,S,,,
137,16/04/2009,2,13:18,LIZ,HEAD,IMG_0059/60,20.39535,-87.31351667,S,,,
138,16/04/2009,2,13:30,ZIGGY,HEAD,IMG_0061-63,20.3948,-87.31361667,F,10,,D
140,16/04/2009,3,16:46,LUNA LLENA,CARAPACE,IMG_0088-90,20.39468333,-87.31366667,S,,,
141,16/04/2009,3,16:49,HEX,HEAD,IMG_0091-95,20.3943,-87.31423333,S,,,
142,16/04/2009,3,17:00,LIRIO,HEAD,IMG_0097-98,20.3941,-87.31418333,S,,,
143,16/04/2009,3,17:04,VEX,HEAD,IMG_0099-104,20.39423333,-87.31361667,F,,,
144,16/04/2009,3,17:15,JACK,CARAPACE,IMG_0105-108,20.39456667,-87.31385,F,,,
145,20/04/2009,1,09:23,WOODY,HEAD,IMG_0088,20.3945,-87.31338333,S,5,H,
146,20/04/2009,1,09:31,WINSTON,HEAD,IMG_0089,20.39408333,-87.31331667,F,,,
147,20/04/2009,1,09:37,JOAQUIN,HEAD,IMG_0090,20.39521667,-87.31383333,S,,,
148,20/04/2009,1,09:37,LIRIO,HEAD,IMG_0091,20.39521667,-87.31383333,S,,,
