Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
360,14/05/2009,3,17:32,,,,20.39395,-87.31478333,F,,,
361,14/05/2009,3,17:32,,,,20.39395,-87.31478333,F,,,
362,14/05/2009,3,17:37,,,,20.39518333,-87.31445,F,,,
403,21/05/2009,1,10:14,,,,20.3956,-87.31433333,S,,,
408,21/05/2009,2,13:13,,,,20.39433333,-87.31375,S,,,
409,21/05/2009,2,13:13,,,,20.39433333,-87.31375,S,,,
411,21/05/2009,3,16:49,,,IMG_0228-230,20.39405,-87.31243333,R,,,
418,21/05/2009,3,17:25,,R PROFILE,IMG_0247/248,20.39491667,-87.31361667,F,,,
421,21/05/2009,3,17:35,,CARAPACE,IMG_0254/255,20.39456667,-87.31368333,S,,,
422,21/05/2009,3,17:37,,,IMG_0256,20.39423333,-87.31356667,S,,,
425,21/05/2009,3,17:55,,,IMG_0261/262,20.39451667,-87.3143,S,,,
477,25/05/2009,2,13:29,,,,20.39455,-87.31361667,F,,,
478,25/05/2009,2,13:42,,,,20.3953,-87.3141,S,,,
481,25/05/2009,3,17:18,,,IMG_0300,20.39491667,-87.31326667,S,,,
482,25/05/2009,3,17:20,,,IMG_0301/02,20.3951,-87.3132,S,,,
483,25/05/2009,3,17:27,,,IMG_0303/04,20.3947,-87.31338333,F,,,
486,25/05/2009,3,17:52,,,IMG_0309/10/11,20.39465,-87.31378333,F,,,
491,25/05/2009,3,18:18,,,IMG_0319-323,20.39406667,-87.314,F,,,
558,08/06/2009,1,09:18,,,,20.39463333,-87.31296667,S,,,
566,08/06/2009,2,12:42,,L PROFILE,IMG_0001,20.3943,-87.3128,S/F,,,
567,08/06/2009,2,12:53,,,,20.3944,-87.31355,F,,,
568,08/06/2009,2,13:05,,,,20.39495,-87.31376667,S,,,
583,11/06/2009,1,09:21,,,,20.3936,-87.31215,S,,,
646,18/06/2009,1,10:02,,,IMG_0016,20.3953,-87.3145,S,,,
692,22/06/2009,2,13:02,,L PROFILE,IMG_0706/7,20.39431667,-87.31353333,E,,,
715,25/06/2009,1,10:00,,,IMG_1304,20.39416667,-87.31358333,F,,,
783,02/07/2009,1,10:13,,,,20.39485,-87.31421667,F,,,
